car_park_no,weekday_rate,sat_rate,sun_rate,From,To
T0014,1.2,1.2,0.6,08.30 AM,05.00 PM
T0014,0.6,0.6,0.6,05.00 PM,10.00 PM
T0017,0.6,0.6,0.6,07.00 AM,10.30 PM
T0017,0.6,0.6,0.6,10.30 PM,07.00 AM
T0019,0.6,0.6,0,08.30 AM,05.00 PM
T0021,0.6,0.6,0.6,08.30 AM,10.00 PM
T0022,0.6,0.6,0.6,08.30 AM,10.00 PM
T0025,0.6,0.6,0,08.30 AM,05.00 PM
T0031,0.6,0.6,0,08.30 AM,05.00 PM
T0033,0.6,0.6,0.6,08.30 AM,10.00 PM
T0036,0.6,0.6,0.6,08.30 AM,10.00 PM
T0039,0.6,0.6,0,08.30 AM,05.00 PM
T0040,0.6,0.6,0,08.30 AM,05.00 PM
T0043,0.6,0.6,0.6,07.00 AM,10.30 PM
T0043,0.6,0.6,0.6,10.30 PM,07.00 AM
T0057,0.6,0.6,0.6,08.30 AM,10.00 PM
T0060,0.6,0.6,0.6,07.00 AM,10.30 PM
T0060,0.6,0.6,0.6,10.30 PM,07.00 AM
T0061,0.6,0.6,0,08.30 AM,05.00 PM
T0062,0.6,0.6,0.6,07.00 AM,10.30 PM
T0062,0.6,0.6,0.6,10.30 PM,07.00 AM
T0065,0.6,0.6,0.6,07.00 AM,10.00 PM
T0066,0.6,0.6,0.6,07.00 AM,10.00 PM
T0067,0.6,0.6,0.6,07.00 AM,10.00 PM
T0068,0.6,0.6,0.6,07.00 AM,10.00 PM
T0070,0.6,0.6,0.6,07.00 AM,10.30 PM
T0070,0.6,0.6,0.6,10.30 PM,07.00 AM
T0074,0.6,0.6,0.6,07.00 AM,10.30 PM
T0074,0.6,0.6,0.6,10.30 PM,07.00 AM
T0076,0.6,0.6,0,08.30 AM,05.00 PM
T0077,0.6,0.6,0,08.30 AM,05.00 PM
T0079,0.6,0.6,0,08.30 AM,05.00 PM
T0080,0.6,0.6,0,08.30 AM,05.00 PM
T0081,0.6,0.6,0,08.30 AM,05.00 PM
T0082,0.6,0.6,0,08.30 AM,05.00 PM
T0083,0.6,0.6,0,08.30 AM,05.00 PM
T0084,0.6,0.6,0,08.30 AM,05.00 PM
T0088,0.6,0.6,0,08.30 AM,05.00 PM
T0090,0.6,0.6,0,08.30 AM,05.00 PM
T0091,0.6,0.6,0,08.30 AM,05.00 PM
T0094,0.6,0.6,0,08.30 AM,05.00 PM
T0096,0.6,0.6,0,08.30 AM,05.00 PM
T0102,0.6,0.6,0,08.30 AM,05.00 PM
T0103,0.6,0.6,0.6,07.00 AM,10.30 PM
T0103,0.6,0.6,0.6,10.30 PM,07.00 AM
T0104,0.6,0.6,0.6,07.00 AM,10.30 PM
T0104,0.6,0.6,0.6,10.30 PM,07.00 AM
T0107,0.6,0.6,0.6,07.00 AM,10.30 PM
T0107,0.6,0.6,0.6,10.30 PM,07.00 AM
T0111,0.6,0.6,0,08.30 AM,05.00 PM
T0113,0.6,0.6,0,08.30 AM,05.00 PM
T0114,0.6,0.6,0.6,08.30 AM,10.00 PM
T0115,0.6,0.6,0.6,08.30 AM,10.00 PM
T0116,0.6,0.6,0.6,07.00 AM,07.00 PM
T0117,0.6,0.6,0,08.30 AM,05.00 PM
T0123,0.6,0.6,0,08.30 AM,05.00 PM
T0129,0.6,0.6,0.6,07.00 AM,10.30 PM
T0129,0.6,0.6,0.6,10.30 PM,07.00 AM
T0130,0.6,0.6,0.6,07.00 AM,10.30 PM
T0130,0.6,0.6,0.6,10.30 PM,07.00 AM
T0140,0.6,0.6,0.6,07.00 AM,10.30 PM
T0140,0.6,0.6,0.6,10.30 PM,07.00 AM
T0141,0.6,0.6,0.6,07.00 AM,10.30 PM
T0141,0.6,0.6,0.6,10.30 PM,07.00 AM
T0142,0.6,0.6,0,08.30 AM,05.00 PM
T0144,1.2,1.2,0.6,08.30 AM,05.00 PM
T0144,0.6,0.6,0.6,05.00 PM,10.00 PM
T0145,0.6,0.6,0.6,08.30 AM,10.00 PM
T0146,0.6,0.6,0.6,07.00 AM,10.30 PM
T0146,0.6,0.6,0.6,10.30 PM,07.00 AM
U0002,1.2,1.2,0.6,08.30 AM,05.00 PM
U0002,0.6,0.6,0.6,05.00 PM,10.00 PM
U0003,0.6,0.6,0.6,07.00 AM,10.30 PM
U0003,0.6,0.6,0.6,10.30 PM,07.00 AM
U0007,0.6,0.6,0,08.30 AM,10.00 PM
U0008,0.6,0.6,0,08.30 AM,10.00 PM
U0012,0.6,0.6,0.6,08.30 AM,10.00 PM
U0013,0.6,0.6,0.6,07.00 AM,10.30 PM
U0013,0.6,0.6,0.6,10.30 PM,07.00 AM
U0014,0.6,0.6,0.6,07.00 AM,10.30 PM
U0014,0.6,0.6,0.6,10.30 PM,07.00 AM
U0016,0.6,0.6,0.6,07.00 AM,10.30 PM
U0016,0.6,0.6,0.6,10.30 PM,07.00 AM
U0017,1.2,1.2,0.6,08.30 AM,05.00 PM
U0017,0.6,0.6,0.6,05.00 PM,10.00 PM
U0021,0.6,0.6,0.6,07.00 AM,10.30 PM
U0021,0.6,0.6,0.6,10.30 PM,07.00 AM
U0023,0.6,0.6,0.6,08.30 AM,10.00 PM
U0029,0.6,0.6,0,08.30 AM,05.00 PM
U0030,0.6,0.6,0.6,07.00 AM,10.30 PM
U0030,0.6,0.6,0.6,10.30 PM,07.00 AM
U0031,0.6,0.6,0.6,08.30 AM,10.00 PM
U0035,0.6,0.6,0,08.30 AM,05.00 PM
U0036,0.6,0.6,0.6,07.00 AM,10.30 PM
U0036,0.6,0.6,0.6,10.30 PM,07.00 AM
U0037,0.6,0.6,0.6,07.00 AM,10.30 PM
U0037,0.6,0.6,0.6,10.30 PM,07.00 AM
U0038,0.6,0.6,0.6,08.30 AM,10.00 PM
U0039,0.6,0.6,0.6,07.00 AM,10.30 PM
U0039,0.6,0.6,0.6,10.30 PM,07.00 AM
U0040,0.6,0.6,0,08.30 AM,05.00 PM
U0042,0.6,0.6,0.6,07.00 AM,10.30 PM
U0042,0.6,0.6,0.6,10.30 PM,07.00 AM
U0043,0.6,0.6,0.6,08.30 AM,10.00 PM
U0044,0.6,0.6,0.6,07.00 AM,10.30 PM
U0044,0.6,0.6,0.6,10.30 PM,07.00 AM
U0045,0.6,0.6,0.6,07.00 AM,10.30 PM
U0045,0.6,0.6,0.6,10.30 PM,07.00 AM
V0001,0.6,0.6,0,08.30 AM,10.00 PM
V0005,0.6,0.6,0,08.30 AM,10.00 PM
V0007,0.6,0.6,0.6,07.00 AM,10.30 PM
V0007,0.6,0.6,0.6,10.30 PM,07.00 AM
W0001,1.2,1.2,0.6,08.30 AM,05.00 PM
W0001,0.6,0.6,0.6,05.00 PM,10.00 PM
W0002,1.2,1.2,0.6,08.30 AM,05.00 PM
W0002,0.6,0.6,0.6,05.00 PM,10.00 PM
W0004,1.2,1.2,0.6,08.30 AM,05.00 PM
W0004,0.6,0.6,0.6,05.00 PM,10.00 PM
W0005,0.6,0.6,0.6,07.00 AM,10.00 PM
W0010,0.6,0.6,0,08.30 AM,05.00 PM
W0013,0.6,0.6,0.6,07.00 AM,10.30 PM
W0013,0.6,0.6,0.6,10.30 PM,07.00 AM
W0021,0.6,0.6,0,08.30 AM,05.00 PM
W0029,0.6,0.6,0.6,07.00 AM,10.30 PM
W0029,0.6,0.6,0.6,10.30 PM,07.00 AM
W0034,0.6,0.6,0,08.30 AM,05.00 PM
W0035,0.6,0.6,0,08.30 AM,05.00 PM
W0036,0.6,0.6,0,08.30 AM,05.00 PM
W0037,0.6,0.6,0,08.30 AM,05.00 PM
W0038,0.6,0.6,0,08.30 AM,05.00 PM
W0045,0.6,0.6,0,07.00 AM,10.30 PM
W0045,0.6,0.6,0,10.30 PM,07.00 AM
W0046,0.6,0.6,0,08.30 AM,05.00 PM
W0047,0.6,0.6,0,08.30 AM,05.00 PM
W0048,0.6,0.6,0,08.30 AM,05.00 PM
W0049,0.6,0.6,0,08.30 AM,05.00 PM
W0051,0.6,0.6,0,08.30 AM,05.00 PM
W0055,0.6,0.6,0.6,07.00 AM,11.00 AM
W0055,0.75,0.75,0.75,11.00 AM,10.30 PM
W0055,0.6,0.6,0.6,10.30 PM,07.00 AM
W0058,0.6,0.6,0.6,07.00 AM,07.00 PM
Y0002,1.2,1.2,0.6,08.30 AM,05.00 PM
Y0002,0.6,0.6,0.6,05.00 PM,10.00 PM
Y0013,0.6,0.6,0.6,07.00 AM,10.00 PM
Y0019,1.2,1.2,0.6,07.00 AM,05.00 PM
Y0019,0.6,0.6,0.6,05.00 PM,10.30 PM
Y0019,0.6,0.6,0.6,10.30 PM,07.00 AM
Z0001,0.6,0.6,0.6,08.30 AM,10.00 PM
Z0003,0.6,0.6,0.6,08.30 AM,10.00 PM
Z0004,0.6,0.6,0.6,08.30 AM,10.00 PM
ACB,1.2,1.2,1.2,07.00 AM,05.00 PM
BBB,1.2,1.2,1.2,07.00 AM,05.00 PM
BRB1,1.2,1.2,1.2,07.00 AM,05.00 PM
CY,1.2,1.2,1.2,07.00 AM,05.00 PM
DUXM,1.2,1.2,1.2,07.00 AM,05.00 PM
HLM,1.2,1.2,1.2,07.00 AM,05.00 PM
KAB,1.2,1.2,1.2,07.00 AM,05.00 PM
KAM,1.2,1.2,1.2,07.00 AM,05.00 PM
KAS,1.2,1.2,1.2,07.00 AM,05.00 PM
PRM,1.2,1.2,1.2,07.00 AM,05.00 PM
SLS,1.2,1.2,1.2,07.00 AM,05.00 PM
SR1,1.2,1.2,1.2,07.00 AM,05.00 PM
TPM,1.2,1.2,1.2,07.00 AM,05.00 PM
UCS,1.2,1.2,1.2,07.00 AM,05.00 PM
WCB,1.2,1.2,1.2,07.00 AM,05.00 PM
ACB,0.6,0.6,0.6,05.00 PM,07.00 AM
BBB,0.6,0.6,0.6,05.00 PM,07.00 AM
BRB1,0.6,0.6,0.6,05.00 PM,07.00 AM
CY,0.6,0.6,0.6,05.00 PM,07.00 AM
DUXM,0.6,0.6,0.6,05.00 PM,07.00 AM
HLM,0.6,0.6,0.6,05.00 PM,07.00 AM
KAB,0.6,0.6,0.6,05.00 PM,07.00 AM
KAM,0.6,0.6,0.6,05.00 PM,07.00 AM
KAS,0.6,0.6,0.6,05.00 PM,07.00 AM
PRM,0.6,0.6,0.6,05.00 PM,07.00 AM
SLS,0.6,0.6,0.6,05.00 PM,07.00 AM
SR1,0.6,0.6,0.6,05.00 PM,07.00 AM
TPM,0.6,0.6,0.6,05.00 PM,07.00 AM
UCS,0.6,0.6,0.6,05.00 PM,07.00 AM
WCB,0.6,0.6,0.6,05.00 PM,07.00 AM
