name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
Singapore Botanic Gardens,T0014,"1 Cluny Road, S(259569)",$0.02/min from 7am to 7pm ,$0.02/min up to a maximum cap of $2.00 for entry between 7pm to 10.30pm ,Charges same as weekdays ,Charges same as weekdays ,259569,26315.88028,33822.88625
Singapore Chinese Cultural Centre,T0014,"1 Straits Boulevard, S(018906)",$2.25/30min from 7am to 5pm ,$3.50/entry from 5pm to 7am the following day ,$3.50/entry for whole day ,$3.50/entry for whole day ,18906,29813.66349,28697.52076
Singapore Cruise Center,T0014,"1 Maritime Square, HarbourFront Centre S(099253)","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 6pm ","$2.04/hr from 1am to 7am, $2.60/entry from 6pm to 1am the following day ",Charges same as weekdays ,Charges same as weekdays ,99253,26523.41792,27393.65335
Singapore Flyer,T0014,"30 Raffles Avenue, S(039803)",$2.00/hr or part thereof from 6am to 6pm ,"$2.00/entry from 6pm to 12midnight, $2.00/entry from 12midnight to 6am the following day ","$2.00/hr or part thereof from 6am to 6pm, $2.00/hr or part thereof from 6pm to 12midnight, $2.00/entry from 12midnight to 6am the following day ","$2.00/hr or part thereof from 6am to 6pm, $2.00/hr or part thereof from 6pm to 12midnight, $2.00/entry from 12midnight to 6am the following day ",39803,31349.20779,30231.59924
Singapore Islamic Hub,T0014,"273 Braddell Road, S(579702)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,579702,30119.03424,36113.40965
Singapore Philatelic Museum,T0014,"23B Coleman Street, S(179807)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,179807,29712.97704,30582.94963
Singapore Science Centre,T0014,"15 Science Centre Road, S(609081)",$0.60/30min from 7am to 6pm  ,$0.60/30min from 6pm to 7am the following day  ,Charges same as weekdays ,Charges same as weekdays ,609081,17135.57821,34985.8001
Singapore Sports Hub,T0014,"2 Stadium Walk, S(397691)",$0.021/min from 7am to 5pm ,$0.021/min from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,397691,32564.45787,31437.94154
Singapore Swimming Club,T0014,"45 Tanjong Rhu Road, S(436899)","$1.50 for 1st hr, $0.02 for next subsequent min from 6am to 6pm ","$2.03 for 1st hr, $0,03 for next subsequent min from 6pm to 6am the following day ",Charges same as weekdays ,Charges same as weekdays ,436899,33321.2255,31061.17255
Singapore Turf Club (STC),T0014,"1 Turf Club Avenue Singapore Racecourse, S(738078)",$3.00/entry from 9am to 5pm from Mon to Thurs ,$5.00/entry from 5pm to 8am the following day from Mon to Thurs ,$6.00/entry from 9am to 8pm from Fri to Sunday ,$6.00/entry from 9am to 8pm from Fri to Sunday ,738078,20117.93419,44888.06011
Singapore Zoo / Singapore Night Safari,T0014,"80 Mandai Lake Road, S(729826)","$3.00 for 1st hr, $2.00 for next subsequent hr from 6am to 1am the following day (Capped at $10/entry) ","$3.00 for 1st hr, $2.00 for next subsequent hr from 6am to 1am the following day (Capped at $10/entry) ",Charges same as weekdays ,Charges same as weekdays ,729826,23132.18191,42751.51021
Snow City,T0014,"21 Jurong Town Hall Road, S(609433)",$0.70/30min from 7am to 7pm ,$0.70/30min from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,609433,17110.42703,35190.90035
Sports Hub@Punggol,T0014,"6 Tebing Lane, S(828835)",$0.60/30min from 7am to 6pm ,"$0.90/30min from 6pm to 12midnight, $0.60/30min from 12midnight to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,828835,37275.05488,41589.80009
St. James Power Station,T0014,"3 Sentosa Gateway, S(098544)",$0.80/30min from 7am to 9pm ,"$4.00/entry for 1st 3hr, $2.00 for subsequent hr from 9pm to 7am the following day ","$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day ","$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day ",98544,27062.42421,27470.43451
Sungei Buloh Wetland Reserve,T0014,"301 Neo Tiew Crescent, S(718925)",Free parking from 7am to 7pm daily ,Car Park closed after 7pm ,Charges same as weekdays ,Charges same as weekdays ,718925,16378.79223,47532.66141
Tanah Merah Ferry Terminal,T0014,"50 Tanah Merah Ferry Road, S(498833)",$1.50/hr up to a maximum charge of $28/day ,$1.50/hr up to a maximum charge of $28/day ,Charges same as weekdays ,Charges same as weekdays ,498833,45241.55959,32948.6258
Tanglin Public Golf Course & Tennis Courts,T0014,"130E Minden Road, S(248819)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,248819,26017.20151,32018.826
Tanjong Pagar Railway Station,T0014,"30 Keppel Road, S(089059)",Carpark not in use ,Carpark not in use ,Carpark not in use ,Carpark not in use ,89059,27831.83175,28478.38258
Temasek Club,T0014,"131 Rifle Range Road, S(588406)","$1.20 for the first hr, $0.30 for next subsequent 15min from 7am to 4.59pm ","$2.50 for the first hr, $0.30 for next subsequent 15min from 5pm to 7am the following day ","$2.50 for the first hr, $0.30 for next subsequent 15min from 7am to 7am the following day ","$2.50 for the first hr, $0.30 for next subsequent 15min fromm 7am to 7am the following day ",588406,22173.08764,36516.82851
The Alpha (Science Park II),T0014,"10 Science Park Road, S(117684)","$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm ","$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm ","$1.60 for 1st hr, $1.20 for next subsequent hr from 7.30am to 7.30pm ",Closed ,117684,22015.27255,30101.54398
The Battle Box,T0014,"51 Canning Rise, S(179872)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,179872,29497.06229,30843.90239
The Chevrons,T0014,"48 Boon Lay Way, S(609961)",$1.20/hr from 7am to 4.59pm ,$2.50/entry from 5pm to 6.59am the following day ,$2.50/entry from 7am to 6.59am the following day ,$2.50/entry from 7am to 6.59am the following day ,609961,18541.7836,34803.24369
The Mint Museum of Toys,T0014,"26 Seah Street, S(188382)",$1.00/30min from 8am to 5pm ,$0.50/30min from 5pm to 8am the following day ,Charges same as weekdays ,$0.50/30min from 8am to 8am the following day ,188382,30369.53541,30962.09124
The National Museum of Singapore,T0014,"93 Stamford Road, S(178897)",$2.50/hr from 7am to 6pm ,"$4.00/entry from 6pm to 3am, $4/hr from 3am to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,178897,29679.85216,31016.92327
The Oval @ Seletar Aerospace Park,T0014,"3 Park Lane, S(798387)",$0.60/30min from 7am to 5pm ,$0.60/30min from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,798387,31889.24199,43317.59437
Toa Payoh Stadium / Sports Hall / ClubFITT Gym,T0014,"297 Lorong 6 Toa Payoh, S(319389)",$0.60/30min from 7am to 5pm ,$0.60/30min from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,319389,29998.92347,34735.95006
"West Coast Park (Carpark 1, 2 and 3)",T0014,"34 West Coast Park, S(127711)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,127711,19280.79286,33227.79632
West Coast Recreation Centre,T0014,"12 West Coast Walk, S(127157)",$0.50/30min from 6.30am to 6pm ,"$2.00/entry from 6pm to 3am the following day, $5.00/entry from 3am to 6.30am ",Charges same as weekdays ,Charges same as weekdays ,127157,20261.43437,32423.21078
Woodlands Waterfront Park,T0014,"6A Admiralty Road West, S(759956)","Free parking from 6.30am to 8.30am, $0.60/30min from 8.30am to 5pm ",$0.60/30min from 5pm to 6.30am the following day ,Charges same as weekdays ,Charges same as weekdays ,759956,26992.51406,49181.50901
Yio Chu Kang Stadium / Sports Hall / ClubFITT Gym,T0014,"210 Ang Mo Kio Avenue 9, S(569777)","$0.50 for 1st 30min, $1.00 for next subsequent hr from 7am to 7pm ","$.50 for 1st 30min, $1.00 for next subsequent hr from 7pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,569777,29463.43141,40587.2544
Yishun Stadium / Sports Hall / ClubFITT Gym,T0014,"101 Yishun Avenue 1, S(769130)",HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,HDB / URA parking rates ,769130,27761.71597,43759.33316
Zirca Mega Club,T0014,"3C River Valley Road, S(179022)",Carpark is closed ,Carpark is closed ,Carpark is closed ,Carpark is closed ,179022,29396.06844,30347.49338
Adam Road Medical Centre,T0014,"19 Adam Road, S(289891)",Free Parking ,Free Parking ,Free Parking ,Free Parking ,289891,25774.61079,34336.51986
Alexandra Hospital,T0014,"378 Alexandra Road, S(159964)",$1.80/hr from 7am to 10pm ,$1.60/hr from 10pm to 7am the following day ,Charges same as weekdays ,$1.68/hr from 7am to 7am the following day ,159964,24289.01756,30112.16801
Ang Mo Kio Community Hospital,T0014,"17 Ang Mo Kio Avenue 9, S(569766)",$0.86/30min from 7am to 10pm ,$3.10/entry from 10pm to 7am the following day ,Charges same as weekdays ,$3.10/entry from 7am to 7am the following day ,569766,28783.16765,40663.35698
Ang Mo Kio Polyclinic (NHGP),T0014,"21 Ang Mo Kio Central 2, S(569666)","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm ","$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 8pm, carpark closed till 7am the following day ","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 4pm, carpark closed till 7am of the next Monday ",Carpark closed ,569666,29375.42679,39591.34981
Bright Vision Hospital,T0014,"5 Lorong Napiri, S(547530)",Free Parking ,Free Parking ,Free Parking ,Free Parking ,547530,32976.15847,39328.38483
Camden Medical Centre,T0014,"1 Orchard Boulevard, S(248649)","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10am & 12pm to 6pm, $4.00 for 1st hr, $2.00 for next subsequent 30min from 10am to 12pm ",$4.00/entry from 6pm to 7am the following day ,"$3.00 for 1st hr, subsequently $1.50/30min from 7am-10am & 12pm-1pm, $4.00 for 1st hr, subsequently $2.00/30min from 10am-12pm, $4.00/entry from 6pm to 7am the following day ",$4.00/entry from 7am to 7am the following day ,248649,26952.59404,31719.85309
Changi Hospital (CGH),T0014,"2 Simei Street 3, S(529889)","$1.50 for 1st hr, $0.03/min for next subsequent min from 7am to 5pm ","$1.50 for 1st hr, $0.03/min for next subsequent min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,529889,40913.33338,35872.51806
Farrer Park Hospital,T0014,"1 Farrer Park Station Road, S(217562)","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm ",$3.00/entry from 6pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,217562,30303.65899,32771.11619
