name,car_park_no,address,weekday_before_5,weekday_after_5,sat,sun,postal,x_coord,y_coord
10 Raeburn Park,T0014,"10 Raeburn Park, S(088702)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 5pm ",$2.50/entry from 5pm to 7am the following day ,Charges same as weekdays ,$2.50/entry from 8am to 8am the following day ,88702,28089.11963,28500.03593
100 Pasir Panjang,T0014,100 Pasir Panjang Road S(118518),"$1.80 for 1st hr, $0.80 for next subsequent 30min or part thereof from 7am to 7pm ",$3.50/entry from 7pm to 7am the following day ,Charges same as weekdays ,$3.50/entry from 7pm to 7am the following day ,118518,23826.22172,28659.98358
15 Changi Business Park,T0014,"15 Changi Business Park Central 1, S(486057)",$0.60/30min from 7am to 7pm ,"$0.60/30min from 7pm to 7am the following day, capped at $4.00 ",Charges same as weekdays ,Charges same as weekdays ,486057,42540.28258,35503.16699
1557 Keppel Road,T0014,"1557 Keppel Road, S(089066)","$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 6pm ",$2.14/entry from 7pm to 7am the following day ,$2.14/entry from 7am to 7am the following day ,$2.14/entry from 7am to 7am the following day ,89066,28810.37896,28404.89192
18 New Industrial Road,T0014,"18 New Industrial Road, S(536205)","$1.28 for 1st hr, $0.64 for next subsequent 30min from 7am to 6pm ",$2.00/entry from 6pm to 7am the following day ,Charges same as weekdays ,$2.00/entry from 7am to 7am the following day ,536205,33884.50799,36154.67974
18 Tai Seng,T0014,"18 Tai Seng Street, S(539775)",$1.00/30min from 6am to 5pm ,"$2.00/entry from 5pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ","$1.00/30min from 6am to 2pm, $2.00/entry from 2pm to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ","$2.00/entry from 6am to 12midnight, $3.00/hr from 12midnight to 6am the following day, capped at $15.00 ",539775,34170.34542,35413.24278
20 Collyer Quay,T0014,"20 Collyer Quay, S(049319)",$2.50/30min from 6am to 5pm ,$3.20/entry from 5pm to 11pm ,Charges same as weekdays ,Closed ,49319,30153.46474,29678.64486
22 Martin Road,T0014,"22 Martin Road, S(239058)","$0.10 for first 5min, subsequently $2.00/hr from 7am to 6pm ","$0.10 for first 5min, subsequently $3.00/hr from 6am to 2am the following day ","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day ","$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day ",239058,28577.50908,30475.56173
26 Tai Seng Street,T0014,"26 Tai Seng Street, S(534057)",$0.75/30min from 7am to 7pm ,$0.75/30min from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,534057,34223.80279,35302.2117
2HR,T0014,"2 Havelock Road, S(059763)",$1.50/30min from 7am to 4.59pm ,$3.00/entry from 5pm to 7am the following day ,Charges same as weekdays ,$3.00/entry from 7am to 7am the following day ,59763,29289.06307,29905.42539
34 Boon Leat Terrace,T0014,"34 Boon Leat Terrace, S(119866)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm ",$2.50/entry from 6pm to 7am the following day ,"$1.60 for 1st hr, $0.80 for next subsequent 30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day ",$2.50/entry from 7am to 7am the following day ,119866,23978.87909,28724.14211
3B Toh Guan Road East,T0014,"3B Toh Guan Road East, S(608833)","$2.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  ","$2.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,608833,18674.80509,35622.37067
50 Scotts Road,T0014,"50 Scotts Road, S(228242)","$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 10.59am and 2pm to 4.59pm; $3.00 for 1st hr, $1.50 for next subsequent 30min from 11am to 1.59pm ",$3.50/entry from 5pm to 6.59am the following day ,$3.50/entry from 7am to 6.59am the following day ,$3.50/entry from 7am to 6.59am the following day ,228242,28419.43526,32577.30493
51 Bencoolen Street,T0014,"51 Bencoolen Street, S(189630)",$1.00/30min from 7am to 6pm ,$2.00/hr from 6.01pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,189630,29898.34072,31302.21097
6 Raffles Quay,T0014,6 Raffles Quay S(048580),$2.50/30min from 7am to 8pm ,$3.00/entry after from 8pm to 11pm ,"$2.50/30min from 7am to 3pm, $3.00/entry after from 3pm to 7pm ",carpark close ,48580,30010.58981,29361.83841
79 Anson Road,T0014,"79 Anson Road, S(079906)",$2.00/30min from 7am to 6pm ,$4.00/entry from 6pm to 7am the following day ,"$2.00/30min from 7am to 1pm, $4.00/entry from 1pm to 11pm ",$4.00/entry from 7am to 7am the following day ,79906,29374.7477,28508.86002
8 Central Link,T0014,"8 Jalan Kilang Barat, S(159351)",$1.50/hr from 8am to 5pm ,$1.50/hr from 5pm to 8am the following day ,$1.50/hr from 8am to 8am the following day ,$1.50/hr from 8am to 8am the following day ,159351,25183.76135,29740.61686
991 Alexandra Road,T0014,"991B Alexandra Road, S(119970)",$1.60/hr from 6am to 7pm ,"$2.00/entry from 7pm to 3am the following day, $20.00/entry from 3am to 6am ",Charges same as weekdays ,"$2.00/entry from 6am to 3am the following day, $20.00/entry from 3am to 6am ",119970,24670.26092,28485.91153
9@Tagore,T0014,"9 Tagore Lane, S(787472)",$0.75/30min from 7am to 5.59pm ,"$1.50/entry from 6pm to 9.59pm, $3.00/entry from 10pm to 6.59am the following day ",Charges same as weekdays ,$3.00/entry from 7am to 6.59am the following day ,787472,27190.9503,40664.7944
Abacus Plaza,T0014,"3 Tampines Central 1, S(529540)",$2.00/hr form 8am to 5pm ,"$2.50/entry from 5pm to 12midnight, $10.00/entry from 12midnight to 8am the following day ",Charges same as weekdays  ,$2.50/entry from 8am to 8am the following day  ,529540,40199.86498,37194.23482
ABI Plaza,T0014,"11 Keppel Road, S(089057)","$4.28 for 1st hr, $2.68 for next subsequent 30min from 8am to 6pm ","$4,28/entry from 6pm to 8am the following day ","Charges same as weekdays, $4.28/entry from 1pm to 8am the following day ",$4.28/entry from 8am to 8am the following day ,89057,29062.74702,28399.82718
Admirax,T0014,"8 Admiralty Street, S(757438)",$1.00/hr from 7am to 10pm ,Carpark closed after 10pm daily ,$1.00/hr from 7am to 3pm ,Carpark closed ,757438,26063.39033,49326.8658
Aero-Green Technology,T0014,"260 Neo Tiew Crescent, S(718899)",Free parking from 9am to 5pm daily ,Car Park closed after 5pm ,Charges same as weekdays ,Charges same as weekdays ,718899,16601.59743,47215.80196
AIA Tower,T0014,"1 Robinson Road, S(048542)",Season parking only ,Season parking only ,Season parking only ,Season parking only ,48542,29981.42869,29381.10029
Albert Complex,T0014,"60 Albert Street, S(189969)",$1.20/30min from 7am to 11pm daily ,$1.20/30min from 7am to 11pm daily ,Charges same as weekdays ,Charges same as weekdays ,189969,30278.78769,31635.87811
AMK Autopoint,T0014,"10 Ang Mo Kio Industrial Park 2A, S(568047)","$2.00/entry from 12midnight to 7am, $0.50 for next subsequent 30min from 7am to 10.30pm ",$2.00/entry from 10.30pm to 12midnight ,Charges same as weekdays ,"$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, $2.00/entry from 10.30pm to 12midnight ",568047,31938.38666,39884.66721
AMK Hub,T0014,"53 Ang Mo Kio Avenue 3, S(569933)","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day  ","$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day  ","$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day  ","$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day  ",569933,29711.00751,39028.6386
Amtech Building,T0014,"157 Sin Ming Road, S(575624)","$1.30 for 1st hr, $0.90 for next subsequent 30min from 6am to 6pm ","$2.40/entry from 6pm to 12midnight, $4.00/entry from 12midnight to 6am the following day ",Charges same as weekdays ,"$2.00/entry from 8am to 12midnight, $4.00/entry from 12midnight to 6am the following day ",575624,28464.62037,37598.6041
Anglican Care Centre (Simei),T0014,"10 Simei Street 3, S(529897)","$1.28 for 1st hr, $0.75 for next subsequent 30min from 7am to 5pm ","$1.28 for 1st hr, $0.75 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,529897,40894.23671,36023.47393
APS Industrial Building,T0014,"49 Jalan Pemimpin, S(577203)",$1.65/hr from 8am to 4.59pm ,$1.80/entry from 5pm to 7.59am ,Charges same as weekdays ,Charges same as weekdays ,577203,28944.95038,37014.92574
ARC 380,T0014,"380 Jalan Besar, S(209000)","$1.50 for 1st hr, $1.30 for next subsequent hr from 7am to 7pm ",$3.20/entry from 7pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,209000,31012.57509,32833.6585
ARC @ mTower,T0014,"460 Alexandra Road, S(119963)","$2.20/hr from 7am to 12pm and 2pm to 6.30pm, Free parking from 12pm to 2pm ","Free parking from 6.30pm to 11pm, $2.40/hr from 11pm to 7am the following day ","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day ","Free parking from 7am to 11pm, $2.40/hr from 11pm to 7am the following day ",119963,24447.64755,28514.45842
Ark @ Gambas,T0014,"7 Gambas Crescent, S(757087)",$0.96/30min from 7am to 10.30pm ,$3.21/entry from 10.30pm to 7am the following day ,Charges same as weekdays ,"$2.14/entry from 7am to 10.30pm, $3.21/entry from 10.31pm to 7am the following day ",757087,25709.97972,47381.15669
Ark @ KB,T0014,"68 Kaki Bukit Avenue 6, S(417896)",$0.60/30min from 7.01am to 10.30pm ,$4.00/entry from 10.31pm to 7am the following day ,Charges same as weekdays ,$4.00/entry from 7am to 7am the following day ,417896,37039.43766,35930.24449
Asia Square Tower 1,T0014,"8 Marina View, S(018960)",$1.07/10min from 7am to 5.59pm ,$5.35/entry from 6pm to 6.59am the following day ,$5.35/entry from 7am to 6.59am the following day ,$5.35/entry from 7am to 6.59am the following day ,18960,30007.01673,29016.82223
Asia Square Tower 2,T0014,"12 Marina View, S(018961)",$1.07/10min from 7am to 5.59pm ,$5.35/entry from 6pm to 6.59am the following day ,$5.35/entry from 7am to 6.59am the following day ,$5.35/entry from 7am to 6.59am the following day ,18961,29945.00547,28974.25294
Aspial One,T0014,"55 Ubi Avenue 3, S(408864)",$1.80/hr from 7am to 7am the following day ,$1.80/hr from 7am to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,408864,35098.72078,35091.57735
Atrix Building,T0014,"82 Lorong 23 Geylang, S(388409)",$1.28/hr from 7am to 6pm ,"$2.68/entry from 6pm to 12midnight, $1.28/hr from 12midnight to 7am the following day ",$2.68/entry from 7am to 7am the following day ,$2.68/entry from 7am to 7am the following day ,388409,33361.0615,33225.13855
Automobile Megamart (AML),T0014,"61 Ubi Avenue 2, S(408898)",$1.50/hr from 8am to 6pm ,$2.00/entry from 6pm to 12midnight the following day ,Charges same as weekdays ,Charges same as weekdays ,408898,35538.52941,34937.20585
AXA Tower,T0014,"8 Shenton Way, S(068811)",$2.30/30min from 7am to 6pm ,$2.80/entry from 6pm to 7am the following day ,"$2.30/30min from 7am to 1pm, $2.80/entry from 1pm to 7am the following day ",$2.80/entry from 7am to 7am the following day ,68811,29538.91165,28677.75373
Balestier Towers,T0014,"207 Balestier Road, S(329683)",$1.50/hr from 8am to 4.59pm ,$2.75/entry from 5pm to 7.59am the following day ,Charges same as weekdays ,Carpark closed on Sundays ,329683,30117.73172,33691.45721
Balestier Warehouse,T0014,"12A Jalan Ampas, S(329516)","$1.50 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm ","$1.50 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day ",Charges same as weekdays ,Charges same as weekdays ,329516,30091.37902,34295.66071
Bangkok Bank Building,T0014,"180 Cecil Street, S(069546)","$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm ","$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 7pm ","$2.30 for the 1st 30min, $4.00 for the next subsequent hr from 7am to 3pm ",Closed ,69546,29598.99078,29070.52592
Beach Centre,T0014,"15 Beach Road, S(189677)","$1.50 for 1st 30min, $1.20 for next subsequent 30min from 7am to 6pm ",$3.50/entry from 6pm to 7am the following day ,Charges same as weekdays ,$3.50/entry from 7am to 7am the following day ,189677,30468.08905,30908.06952
Bestway Building,T0014,"12 Prince Edward Road, S (079212)",$2.00/hr from 7am to 6pm ,$3.00/entry from 6pm to 7am the following day ,$3.00/entry from 7am to 7am the following day ,$3.00/entry from 7am to 7am the following day ,79212,29663.80498,28495.84082
Biopolis,T0014,"20 Biopolis Way, S(138668)",$1.20/hr from 7am to 5pm ,Free parking from 5.01pm to 06.59am the following day ,Same charges as weekday ,Same charges as weekday ,138668,23399.96876,31775.9409
Biopolis 3,T0014,"3 Biopolis Drive, S(138623)",$1.65/hr from 7am to 7pm ,$3.30/entry from 7pm to 7am the following day ,"$1.65/hr from 7am to 2pm, $3.30/entry from 2pm to 7am the following day ",$3.30/entry from 7am to 7am the following day ,138623,23539.26041,31550.2969
Bras Basah Complex,T0014,"231 Bain Street, S(180231)","$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm ",$0.60/30min from 10.30pm to 7am the following day ,"$1.20/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day ","$0.60/30min from 7am the 10am, $1.40/30min from 10am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day ",180231,30248.88398,31042.64191
Bukit Timah Plaza,T0014,"1 Jalan Anak Bukit, S(588996)",$1.60/hr from 7.30am to 5pm ,$2.40/entry from 5pm to 7.30am the following day  ,Charges same as weekdays ,"$2.80 for the 1st 3hr, $1.60 for the next subsequent hr from 7.30am to 5pm, $2.40/entry from 5pm to 7am the following day  ",588996,21906.00646,35647.44938
Bukit Timah Plaza (Multi-Storey Car Park),T0014,"1 Jalan Anak Bukit, S(588996)",$1.40/hr from 7.30am to 5pm ,$2.40/entry from 5.01pm to 7.30am the following day ,Charges same as weekdays ,"$2.40 for the 1st 3hr, $1,40 for the next subsequent hr from 7.30am to 7.30am the following day ",588996,21906.00646,35647.44938
Burlington Square,T0014,"175 Bencoolen Street, S(189649)",$0.04/min from 7am to 4.49pm ,$2.20/entry from 5pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,189649,30146.3738,31608.22912
Cairnhill Art Centre,T0014,"126 Cairnhill Road, S(229707)",HDB parking rates from 8am to 6pm ,"Free parking at night, Sunday and PH ",Charges same as weekdays ,Free Parking ,229707,28469.15817,32310.32249
Cambridge Industrial Trust,T0014,"2 Jalan Kilang Barat, S(159346)","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm  ","$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,159346,25181.51125,29791.48835
CapitaCommercial Trust (CCT),T0014,"39 Robinson Road, S(068911)",$2.05/30min from 8am to 5pm ,$3.10/entry from 5pm to 8am the following day ,"Charges same as weekdays, $3.10/entry after 1pm ",$3.10/entry ,68911,29806.23573,29116.31024
Capital Square,T0014,"23 Church Street, S(049481)",$2.40/30min from 8am to 6pm ,$3.20/entry from 6pm to 8am ,$3.20/entry from 8am to 8am the following day ,$3.20/entry from 8am to 8am the following day ,49481,29739.01084,29576.08624
Capital Tower,T0014,"168 Robinson Road, S(068912)",$2.80/30min from 7am to 5.59pm ,$3.70/entry from 6pm to 6.59am the following day ,"$2.80/30min from 7am to 12.59pm, $3.70/entry from 1pm to 6.59am the following day ",$3.70/entry from 7am to 6.59am the following day ,68912,29580.80154,28908.4044
Carpark @ 22 Bideford Road,T0014,"22 Bideford Road, S(229923)","$2.80 for 1st hr, $1.40 for next subsequent 30min from 7am to 7.59pm ",$3.80/entry from 8pm to 6.59am the following day ,"$3.80/entry from 7am to 4.59pm, $3.80/entry from 5pm to 6.59am the following day ","$3.80/entry from 7am to 4.59pm, $3.80/entry from 5pm to 6.59am the following day ",229923,28370.48733,31782.97809
Centennial Tower,T0014,"3 Temasek Avenue, S(039190)","$3.30 for 1st hr, $1.10 for next subsequent 30min from 7am to 6pm ",$2.20/entry from 6pm to 7am the following day ,"$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day ","$2.20 for 1st 2hr, $1.10 for next subsequent hr from 7am to 7am the following day ",39190,30999.01058,30654.47257
Central Square,T0014,"20 Havelock Road, S(059765)",$2.50/hr from 7am to 4.59pm ,$3.50/entry from 5pm to 6.59am the following day ,Charges same as weekdays ,$3.50/entry from 7am to 6.59am the following day ,59765,29106.98873,30062.44092
Certis CISCO Centre,T0014,"20 Jalan Afifi, S(409179)",$1.60/30min from 7am to 6pm  ,$1.20/30min from 6pm to 7am the following day  ,$1.00/30min from 7am to 7am the following day  ,$1.00/30min from 7am to 7am the following day  ,409179,34542.46639,33718.24084
CES Centre,T0014,"171 Chin Swee Road, S(169877)",$2.80/hr from 7am to 9.59pm ,$5.00/entry from 10pm to 6.59am the following day ,$5.00/entry from 7am to 6.59am the following day ,$5.00/entry from 7am to 6.59am the following day ,169877,28771.31958,29910.8943
Chang Hua Building,T0014,"112 Lavender Street, S(338728)",$1.50/hr from 7am to 7am the following day ,$1.50/hr from 7am to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,338728,31276.54363,32617.06538
Changi Airfreight Centre (CAC),T0014,"9 Airline Road, S(819827)",$0.50/30min from 7am to 9.59pm ,$2.00/entry from 10pm to 6.59am the following day ,Charges same as weekdays ,Charges same as weekdays ,819827,46489.10536,40531.13877
Charles & Keith Building,T0014,"21 Tai Seng Street, S(534166)",Not for public ,Not for public ,Not for public ,Not for public ,534166,34237.37701,35492.75856
Chevron House,T0014,"30 Raffles Place, S(048622)",$3.20/30min from 2am to 6.30pm ,$3.70/entry from 6.30pm to 2am the following day ,"$3.20/30min from 2am to 2pm, $3.70/entry from 2pm to 2am the following day ","$3.20/30min from 2am to 6.30am, $3.70/entry from 6.30am to 2am the following day ",48622,30078.09967,29619.59865
Chinatown Complex,T0014,"335 Smith Street, S(050335)",$1.20/30min from 7am to 5pm ,$0.60/30min from 5pm to 7am the following day ,Charges same as weekdays ,$0.60/30min from 7am to 7am the following day ,50335,29097.23273,29408.57699
Chinatown Point,T0014,"133 New Bridge Road, S(059413)",$1.20/30min from 7.01am to 5pm ,$2.50/entry from 5.01pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,59413,29293.69146,29743.1248
Cideco Industrial Complex,T0014,50 Genting Lane S(349558),"$1.44 for 1st hr, $0.74 for subsequent 30min from 7am to 5.59pm ",$2.56/entry from 6pm to 6.59am the following day ,Charges same as Weekdays ,Charges same as Weekdays ,349558,32493.07464,34418.57594
Citilink Warehouse Complex,T0014,"102E Pasir Panjang Road, S(118529)","$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 6pm ",$2.00/entry from 6pm to 10pm ,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 6pm, $2.00/entry from 6pm to 10pm ",$3.00/entry from 7am to 10pm ,118529,23776.53305,28734.73324
City Industrial Building,T0014,"71 Tannery Lane, S(347807)","$1.44 for 1st hr, $0.74 for subsequent 30min from 7am to 5.59pm ",$2.56/entry from 6pm to 6.59am the following day ,Charges same as Weekdays ,Charges same as Weekdays ,347807,33098.12576,34353.27966
Clarke Quay Central,T0014,"6 Eu Tong Sen Street, S(059817)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 6am to 5pm ",$3.50/entry from 5pm to 6am the following day ,"$2.20 for 1st hr, $1.10 for next subsequent 30min from 6am to 5pm, $3.50/entry from 5pm to 6am the following day ",$3.50/entry from 6am to 6am the following day ,59817,29500.07647,30142.63955
Claymore Plaza,T0014,"6 Claymore Hill, S(229571)",$1.50/30min from 9am to 7pm ,Car Park closed after 7pm ,Charges same as weekdays ,Closed ,229571,27810.05049,32126.43159
CleanTech One,T0014,"1 CleanTech Loop, S(637141)",$0.60/30min from 7am to 5pm ,Free parking from 5pm to 7am the following day ,Charges same as weekdays ,Free parking from 7am to 7am the following day ,637141,12299.27559,37524.0796
Clifford Centre,T0014,"24 Raffles Place, S(048621)",$2.50/30min from 7am to 5pm ,"$3.00/entry from 5pm to 12midnight, additional $3.00/entry from 12midnight to 7am the following day ",Charges same as weekdays ,Carpark closed ,48621,30093.35234,29587.90983
Comcentre / SingTel Building,T0014,"31 Exeter Road, S(239732)","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm ","$3.00/entry from 6pm to 11pm, $15.00/entry from 11pm to 7am the following day ","$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 1pm, $3.00 for 1st 2hr, $1.00 for next subsequent 30min from 1pm to 11pm, $15.00/entry from 11pm to 7am. ","$3.00 for 1st 2 hr, $1.00 for next subsequent 30min from 7am to 11pm, $15.00/entry from 11pm to 7am the following day ",239732,28566.22893,31259.63036
Commerze @ Irving,T0014,"1 Irving Place, S(369546)",$1.00/30min from 7am to 5pm  ,$3.00/entry from 5pm to 7am the following day  ,Charges same as weekdays ,$3.00/entry from 7am to 7am the following day  ,369546,33911.59762,35377.3165
Connection One,T0014,"168 Jalan Bukit Merah, S(150168)",$0.60/30min from 7am to 6pm ,"$1.50/entry from 6pm to 10.30pm, $5.00/entry from 10.30pm to 7am the following day ",Charges same as weekdays ,"$1.50/entry from 7am to 10.30pm, $5.00/entry from 10.30pm to 7am the following day ",150168,26370.17844,29488.64973
CPF Tampines Building Car Park,T0014,"1 Tampines Central 5, S(529508)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,529508,40289.18858,37250.23646
Craig Place,T0014,20 Craig Road S(089692),"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm ",$3.85/entry from 6pm to 7am the following day ,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 6pm, $3.85/entry from 6pm to 7am the following day ",$3.00/entry from 7am to 7am the following day ,89692,29007.50377,28944.77922
Creative Technologies,T0014,"31 International Business Park, S(609921)","$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 7pm ","$2.14 for 1st hr, $1.60 for next subsequent 30min from 7pm to 8am the following day ",Free parking ,Free parking ,609921,18301.6172,34591.41063
CT Hub,T0014,"2 Kallang Ave, S(339407)",$1.80/hr before 7pm ,$2.00/entry after 7pm ,Charges same as weekdays ,Charges same as weekdays ,339407,31296.7459,32717.48752
Da Jin Factory Building,T0014,"362 Upper Paya Lebar Road, S(534963)",$1.33/hr from 8am to 4.59pm ,"$1.63/entry from 5pm to 10pm, Car Park closed after 10pm ",Charges same as weekdays ,Closed ,534963,33348.99622,36686.63971
Delfi Orchard,T0014,"402 Orchard Road, S(238876)","$3.64 for 1st hr, $2.35 for next subsequent 30min from 7am to 6pm ",$5.35/entry from 6pm to 11pm ,Charges same as weekdays ,$5.35 every 4 hrs ,238876,27460.25487,32166.62632
Devan Nair Institute for Employment and Employability,T0014,"80 Jurong East Street 21, S(609607)",$0.36/15min from 6am to 12midnight ,$0.36/15min from 6am to 12midnight ,Charges same as weekdays ,Charges same as weekdays ,609607,18130.60818,35343.23526
DSO National Laboratories,T0014,"20 Science Park Drive, S(118230)",Free parking limited to 6 lots ,Free parking limited to 6 lots ,Free parking limited to 6 lots ,Free parking limited to 6 lots ,118230,23061.2784,30177.03221
Eastgate,T0014,"46 East Coast Road, S(428766)","$1.60 for 1st hr, $1.00 for next subsequent 30min from 8am to 6pm ",$2.50/entry from 6pm to 8am the following day ,Charges same as weekdays ,Charges same as weekdays ,428766,35792.59411,31857.85611
EDB Learning Center,T0014,"2985 Jalan Bukit Merah, S(159457)",$0.55/30min from 8am to 6pm ,$2.14/entry from 5pm to 8am the following day ,Charges same as weekdays ,$2.14/entry from 8am to 8am the following day ,159457,26707.65756,29406.24983
Enterprise Industrial Building,T0014,"46 Lorong 17 Geylang, S(388568)",$1.50/hr from 7am to 5pm ,$1.50/hr from 5pm to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,388568,33048.37331,33013.42335
Enterprise One,T0014,"1 Kaki Bukit Road 1, S(415934)","15min free, $0.70/30min from 7am to 7pm ","15min free, $0.70/30min from 7pm to 7am the following day ",Charges same as weekdays ,Charges same as weekdays ,415934,35712.12235,34994.18085
Entrepreneur Centre,T0014,"50 Tagore Lane, S(787494)",$0.70/30min from 7am to 7am the following day ,$0.70/30min from 7am to 7am the following day ,Charges same as weekdays ,Charges same as weekdays ,787494,27453.94896,40603.07671
Environment Building,T0014,"40 Scotts Road, S(228231)",Private Car Park ,Private Car Park ,Private Car Park ,Private Car Park ,228231,28323.47543,32536.41779
ESR BizPark @ Chai Chee,T0014,"750 Chai Chee Road, S(469000)","$1.50 for 1st hr, $0.40 for next subsequent 15min from 7am to 5.59pm ","$1.50/entry from 6pm to 10.59pm, $1.50 for 1st hr, $0.40 for next subsequent 15min from 11pm to 6.59am the following day ","$1.50 for 1st hr, $0.40 for next subsequent 15min from 7am to 7am the following day ","$1.50 for 1st hr, $0.40 for next subsequent 15min from 7am to 7am the following day ",469000,37880.81591,33988.37642
Eunos Technolink,T0014,"3 Kaki Bukit Road 1, S(415935)",$0.70/30min from 8am to 5pm ,$0.70/30min from 5pm to 8am the following day ,Charges same as weekdays ,Charges same as weekdays ,415935,35577.2003,35160.97975
Euro-Asia Centre,T0014,"15 Hoe Chiang Road, S(089316)","$2.20 for 1st hr, $1.10 for next subsequent 30min from 8am to 5pm ",$2.00/entry from 5pm to 8am the following day ,$2.00/entry from 8am to 1pm only ,$2.00/entry from 8am to 1pm only ,89316,28976.11681,28472.7357
Excalibur Centre,T0014,"71 Ubi Crescent, S(408571)",$1.20/hr from 7.30am to 5pm ,$2.00/entry from 5.01pm to 7.29am the following day ,"$1.20/hr from 7.30am to 5pm, $2.00/entry from 5.01pm to 7.29am the following day ",$2.00/entry from 7.30am to 7.30am the following day ,408571,35235.47119,34344.05846
Far East Plaza,T0014,"14 Scotts Road, S(228213)","$1.61 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm ",$3.53/entry from 5pm to 8am the following day ,Charges same as weekdays ,"$4.07 for 1st 3hr, $1.07 for next subsequent 30min from 8am to 8am the following day ",228213,28055.62971,32180.62841
Far East Square,T0014,"42 Pekin Street, S(048772)",$2.14/30min from 6am to 5.59pm ,$3.21/entry from 6pm to 5.59am the following day  ,$3.21/entry from 6am to 6am the following day ,$3.21/entry from 6am to 6am the following day ,48772,29717.7859,29511.9568
Far Eastern Bank Building,T0014,"156 Cecil Street, S(069544)",$2.50/30min from 7am to 6pm ,$3.20/entry from 6.30pm to 7am ,"$2.50/30min from 7am to 1pm, $3.20/entry from 1pm to 7am ",Closed ,69544,29653.45033,29162.07595
Fook Hai Building,T0014,"150 South Bridge Road, S(058727)",$1.40/30min from 7.30am to 5pm ,$3.00/entry from 5pm to 7.30am ,Charges same as weekdays ,$3.00/entry from 7am to 7am the following day ,58727,29459.47048,29711.7445
Fragrance Empire Building,T0014,"456 Alexandra Road, S(119962)",$2.00/hr from 7.30am to 5pm ,$2.50/entry from 5pm to 7.30am the following day ,"$2.00/hr from 7am to 1pm, $2.50/entry from 1pm to 7am the following day ",$2.50/entry from 7am to 7am the following day ,119962,24446.23988,28637.77076
Frasers Tower,T0014,"182 Cecil Street, S(069547)",$3.00/30min from 7am to 5.59pm ,$4.00/entry from 6pm to 6.59am the following day ,$4.00/entry from 7am to 6.59am the following day ,$4.00/entry from 7am to 6.59am the following day ,69547,29568.58635,29054.07657
Fu Lu Shou Complex,T0014,"149 Rochor Road, S(188425)","$1.30 for 1st 30min, $1.20 for next subsequent 30min from 8am to 4.59pm ",$2.50/entry from 5pm to 12.30am ,Charges same as weekdays ,Charges same as weekdays ,188425,30356.76474,31533.58791
